A,Monday at 10 to 11
B,Monday at 10 to 11
C,Monday at 10 to 11
A,Monday at 12 to 14
B,Monday at 12 to 14
C,Monday at 12 to 14
A,Monday at 14 to 15
A,Monday at 16 to 18
C,Monday at 16 to 18
A,Tuesday at 9 to 11
C,Tuesday at 9 to 11
A,Tuesday at 11 to 13
C,Tuesday at 11 to 13
B,Tuesday at 12 to 13
B,Tuesday at 14 to 16
B,Tuesday at 16 to 18
C,Wednesday at 9 to 10
A,Wednesday at 10 to 11
B,Wednesday at 10 to 11
C,Wednesday at 10 to 11
C,Wednesday at 13 to 14
A,Wednesday at 14 to 15
B,Wednesday at 14 to 15
C,Wednesday at 14 to 15
A,Wednesday at 15 to 16
B,Wednesday at 15 to 16
C,Wednesday at 15 to 16
A,Wednesday at 16 to 17
B,Wednesday at 16 to 17
C,Wednesday at 16 to 17
B,Thursday at 9 to 11
C,Thursday at 11 to 13
A,Thursday at 14 to 16
B,Friday at 9 to 11
A,Friday at 11 to 12
B,Friday at 11 to 12
C,Friday at 11 to 12